iter	Logloss
0	0.6893428811
1	0.6866402743
2	0.6830462687
3	0.6806179803
4	0.6784500768
5	0.6757236132
6	0.6724005956
7	0.6688833938
8	0.6659212856
9	0.6628324173
10	0.6591101564
11	0.6563356395
12	0.6536680362
13	0.6514967343
14	0.6488364715
15	0.646342526
16	0.6435880597
17	0.6403233585
18	0.6377234512
19	0.6347554298
20	0.6330801575
21	0.6307836588
22	0.6292023861
23	0.6256468503
24	0.6230593131
25	0.6208861761
26	0.6189388284
27	0.6165604283
28	0.6141512389
29	0.6114733044
30	0.608907245
31	0.6067379822
32	0.604099605
33	0.6019653456
34	0.5991217734
35	0.596962162
36	0.5949957833
37	0.5928109558
38	0.5910635016
39	0.5896522845
40	0.5871144318
41	0.5849786771
42	0.5831003848
43	0.580042238
44	0.5781901132
45	0.5757917986
46	0.5733242927
47	0.5711322606
48	0.5697766073
49	0.5670818167
50	0.5649968001
51	0.5628679101
52	0.5612492211
53	0.5598279447
54	0.558657164
55	0.5571902473
56	0.5551099204
57	0.553413578
58	0.5508360321
59	0.5491250767
60	0.5467259125
61	0.5449883476
62	0.5428794742
63	0.5407994871
64	0.5396963005
65	0.5371851592
66	0.535006041
67	0.5336042035
68	0.5321615172
69	0.5302436676
70	0.5287324697
71	0.5269749563
72	0.5249106698
73	0.5237120902
74	0.5221605874
75	0.5210071045
76	0.5193890612
77	0.5174488501
78	0.5159356812
79	0.5149239793
80	0.5133370992
81	0.5117070935
82	0.5101330254
83	0.5089291783
84	0.507833672
85	0.5059598995
86	0.505207631
87	0.503736942
88	0.5023162434
89	0.5008637358
90	0.4998056798
91	0.4986442787
92	0.4984188632
93	0.4968350757
94	0.4949485592
95	0.4934640387
96	0.4924758197
97	0.4911842941
98	0.4897906807
99	0.4879546643
100	0.4866892723
101	0.4854249678
102	0.4842348502
103	0.4830087097
104	0.4813721791
105	0.4802530199
106	0.4795229769
107	0.4780402576
108	0.4768506498
109	0.4757745144
110	0.4743060004
111	0.4729642804
112	0.4709826089
113	0.469808124
114	0.4678758651
115	0.4668832282
116	0.4659841491
117	0.4645749031
118	0.4630551752
119	0.4615616151
120	0.4596501884
121	0.4574987671
122	0.4563863028
123	0.4546656279
124	0.4531873945
125	0.4516674628
126	0.4501176932
127	0.4487613602
128	0.4477530567
129	0.4469552157
130	0.4454609758
131	0.4447452741
132	0.4438595166
133	0.4423357787
134	0.4407339797
135	0.4394591062
136	0.4385271306
137	0.4373189336
138	0.4363258889
139	0.4357459189
140	0.4345301775
141	0.4338573294
142	0.4330273057
143	0.431972852
144	0.4311253265
145	0.4301389427
146	0.4286524851
147	0.4270684937
148	0.4258368137
149	0.4244415691
150	0.423316123
151	0.4223265786
152	0.4211307857
153	0.4202000675
154	0.4194304672
155	0.4186449624
156	0.4177204294
157	0.4165233111
158	0.4153388688
159	0.4144577332
160	0.4135447887
161	0.4126128811
162	0.411275749
163	0.4106068431
164	0.4099074196
165	0.4090545586
166	0.4080327635
167	0.4069992439
168	0.4059009849
169	0.4048265487
170	0.4034430285
171	0.4022350694
172	0.4012021615
173	0.3995669223
174	0.3987061091
175	0.3978351007
176	0.3969001345
177	0.3960935257
178	0.3954596573
179	0.3945780119
180	0.3939147473
181	0.3928431997
182	0.3921684826
183	0.3909864192
184	0.3905577798
185	0.3891473783
186	0.388352392
187	0.3878110278
188	0.3867687744
189	0.3860569468
190	0.385135846
191	0.3841902769
192	0.3833632437
193	0.3825934055
194	0.3820344717
195	0.3811655703
196	0.3803331337
197	0.3792837096
198	0.3783968307
199	0.3776343331
200	0.3765095326
201	0.3752606908
202	0.3746736862
203	0.3736566149
204	0.3730355583
205	0.371751849
206	0.3710272774
207	0.3704099591
208	0.3697007143
209	0.368535507
210	0.3670062297
211	0.3658257635
212	0.3653596738
213	0.3647753879
214	0.3639787024
215	0.3631604031
216	0.3625350306
217	0.3620260532
218	0.3613257461
219	0.3607612389
220	0.360014034
221	0.3594351516
222	0.3586165124
223	0.3576624813
224	0.3568871037
225	0.3562946277
226	0.3557737898
227	0.3552318819
228	0.3546264241
229	0.3538757188
230	0.35298231	0.231	0.35217232	0.232	0.35138233	0.233	0.35070234	0.234	0.34956235	0.235	0.34870236	0.236	0.34791237	0.3398242568
238	0.339070299
239	0.3239	0.3457240	0.3240	0.3449241	0.3241	0.344242	0.33242	0.343243	0.3243	0.3426244	0.3244	0.3415245	0.3245	0.3409246	0.3246	0.3401247	0.3247	0.3397248	0248	0.339146249	0249	0.337847250	0250	0.337009251	0251	0.336549252	0252	0.335594253	0253	0.335121254	0254	0.334117255	0255	0.333127256	0256	0.332698257	0257	0.332262258	0258	0.331761259	0259	0.331082260	0260	0.330477261	0261	0.329697262	0.3213641802
263	0263	0.328182264	0.32034162
265	0.3199243763
266	0.3193913222
267	0.3185719744
268	0.3182060355
269	0.3175633291
270	0.3169363407
271	0.3165162732
272	0.3159513066
273	0.3151782965
274	0.3146137722
275	0.3142719889
276	0.313505409
277	0.3130310085
278	0.312503534
279	0.311788191
280	0.311367511
281	0.3106002846
282	0.3096002469
283	0.3090923349
284	0.3084751448
285	0.3079560397
286	0.3071680941
287	0.3063318034
288	0.3056292185
289	0.3049726652
