iter	Passed	Remaining
0	30	30380
1	59	29782
2	83	27870
3	106	26487
4	127	25329
5	159	26457
6	181	25710
7	203	25266
8	230	25362
9	253	25065
10	279	25104
11	303	24970
12	324	24624
13	350	24665
14	374	24617
15	397	24441
16	424	24528
17	451	24655
18	480	24807
19	503	24662
20	527	24594
21	549	24446
22	576	24495
23	598	24345
24	620	24197
25	644	24152
26	671	24209
27	699	24265
28	723	24230
29	749	24226
30	779	24355
31	811	24535
32	837	24549
33	868	24665
34	891	24567
35	918	24587
36	945	24618
37	974	24662
38	997	24591
39	1018	24442
40	1040	24344
41	1066	24336
42	1096	24394
43	1121	24365
44	1146	24327
45	1173	24329
46	1196	24266
47	1223	24257
48	1246	24192
49	1274	24224
50	1303	24248
51	1330	24252
52	1356	24234
53	1381	24198
54	1405	24154
55	1437	24236
56	1465	24250
57	1494	24280
58	1526	24342
59	1554	24353
60	1585	24399
61	1615	24446
62	1649	24527
63	1675	24509
64	1707	24558
65	1733	24530
66	1759	24497
67	1786	24490
68	1816	24506
69	1842	24478
70	1874	24526
71	1899	24480
72	1923	24431
73	1951	24414
74	1975	24359
75	2000	24326
76	2024	24266
77	2047	24199
78	2072	24162
79	2101	24170
80	2128	24144
81	2157	24153
82	2184	24132
83	2210	24109
84	2239	24106
85	2260	24019
86	2282	23953
87	2308	23920
88	2329	23848
89	2357	23838
90	2388	23855
91	2412	23811
92	2420	23601
93	2449	23605
94	2476	23589
95	2500	23545
96	2525	23510
97	2554	23512
98	2587	23546
99	2615	23539
100	2645	23550
101	2678	23578
102	2704	23553
103	2733	23549
104	2758	23512
105	2785	23492
106	2813	23484
107	2840	23458
108	2868	23448
109	2897	23443
110	2919	23384
111	2943	23340
112	2978	23380
113	3003	23344
114	3026	23293
115	3051	23251
116	3072	23186
117	3095	23139
118	3117	23079
119	3139	23020
120	3159	22950
121	3184	22920
122	3211	22895
123	3237	22869
124	3261	22827
125	3288	22810
126	3317	22801
127	3339	22752
128	3364	22714
129	3387	22673
130	3411	22633
131	3438	22607
132	3458	22546
133	3485	22526
134	3510	22492
135	3531	22436
136	3559	22422
137	3583	22382
138	3610	22363
139	3638	22351
140	3662	22309
141	3684	22261
142	3708	22223
143	3733	22191
144	3760	22174
145	3787	22154
146	3812	22122
147	3841	22113
148	3868	22092
149	3898	22091
150	3923	22060
151	3950	22041
152	3982	22049
153	4008	22022
154	4034	21996
155	4060	21965
156	4083	21923
157	4102	21865
158	4129	21844
159	4149	21782
160	4175	21758
161	4198	21715
162	4221	21675
163	4242	21628
164	4269	21607
165	4290	21556
166	4316	21530
167	4343	21510
168	4370	21490
169	4391	21440
170	4411	21388
171	4437	21359
172	4462	21330
173	4484	21290
174	4508	21252
175	4533	21223
176	4564	21223
177	4590	21197
178	4619	21187
179	4646	21168
180	4668	21123
181	4692	21092
182	4719	21071
183	4746	21051
184	4766	20999
185	4788	20956
186	4818	20950
187	4845	20926
188	4865	20876
189	4889	20845
190	4913	20812
191	4941	20795
192	4964	20759
193	4988	20725
194	5015	20706
195	5034	20653
196	5064	20641
197	5082	20588
198	5107	20558
199	5135	20541
200	5159	20508
201	5185	20484
202	5216	20480
203	5243	20460
204	5271	20441
205	5295	20410
206	5317	20371
207	5347	20361
208	5371	20330
209	5398	20308
210	5422	20277
211	5449	20256
212	5478	20240
213	5502	20211
214	5532	20201
215	5560	20183
216	5588	20164
217	5608	20119
218	5639	20110
219	5661	20072
220	5684	20038
221	5709	20010
222	5732	19974
223	5758	19948
224	5778	19902
225	5802	19871
226	5827	19845
227	5850	19809
228	5873	19775
229	5898	19746
230	5920	19710
231	5943	19673
232	5968	19647
233	5998	19636
234	6022	19605
235	6049	19585
236	6073	19552
23237	6252	200123238	6282	2000239	6151	19478
240	6183	19473
241	6211	19455
242	6236	19427
243	6260	19395
244	6287	19375
245	6315	19357
246	6342	19335
247	6372	19322
248	6398	19299
249	6423	19271
250	6447	19239
251	6472	19211
252	6497	19184
253	6527	19170
254	6557	19158
255	6582	19130
256	6605	19097
257	6632	19074
258	6654	19037
259	6682	19020
260	6718	19022
261	6744	18997
26262	6923	1940263	6794	18942
26264	6980	193626265	7006	193326266	7032	193026267	7069	193026268	7096	192826269	7125	192627270	7154	192427271	7178	192127272	7209	192027273	7234	191627274	7260	191427275	7283	191027276	7308	190727277	7328	190327278	7356	190127279	7380	189728280	7407	189528281	7443	189528282	7468	189228283	7497	189028284	7521	188728285	7552	188528286	7582	188328287	7606	188028288	7635	187828289	7659	1875290	7525	18335
291	7560	18331
292	7589	18312
293	7625	18312
294	7661	18309
295	7693	18298
296	7750	18345
297	7784	18337
298	7804	18297
299	7827	18263
300	7852	18234
301	7881	18215
302	7910	18196
303	7932	18160
304	7951	18119
305	7971	18079
306	7996	18051
307	8019	18017
308	8043	17987
309	8070	17962
310	8100	17947
311	8126	17920
312	8153	17895
313	8179	17869
314	8207	17848
315	8236	17827
316	8259	17795
317	8280	17758
318	8301	17721
319	8321	17682
320	8343	17649
321	8364	17611
322	8392	17591
323	8419	17566
32324	8606	178732325	8630	178432326	8660	178232327	8688	178032328	8715	177732329	8737	177433330	8763	177133331	8794	176933332	8821	176633333	8846	176333334	8871	176133335	8900	175833336	8927	175633337	8953	175333338	8981	175133339	9008	17486
340	9032	174534341	9064	17440
342	9089	17410
343	9114	17381
344	9137	17348
345	9162	17318
346	9189	17293
347	9213	17261
348	9237	17230
349	9265	17208
350	9291	17179
351	9315	17149
352	9342	17124
353	9369	17098
354	9392	17064
355	9410	17022
356	9433	16991
357	9458	16962
358	9477	16921
359	9504	16896
360	9526	16863
361	9554	16838
362	9579	16809
363	9605	16782
364	9627	16748
365	9649	16714
366	9670	16678
367	9690	16641
368	9715	16613
369	9731	16570
370	9756	16542
371	9784	16518
372	9813	16496
373	9840	16470
374	9870	16450
375	9894	16420
376	9914	16383
377	9934	16347
378	9961	16322
379	9985	16292
380	10008	16260
381	10039	16242
382	10066	16216
383	10095	16194
384	10120	16166
385	10148	16142
386	10177	16121
387	10203	16094
388	10230	16068
389	10253	16038
390	10277	16006
391	10310	15992
392	10334	15962
393	10358	15931
394	10387	15910
395	10411	15880
396	10438	15855
397	10460	15822
398	10481	15788
399	10507	15760
400	10536	15738
401	10564	15715
402	10584	15679
403	10605	15646
404	10632	15620
405	10656	15591
406	10685	15569
407	10709	15538
408	10736	15513
409	10766	15493
410	10790	15464
411	10813	15432
412	10837	15402
413	10865	15379
414	10887	15347
415	10909	15315
416	10937	15291
417	10960	15260
418	10988	15236
419	11015	15211
420	11033	15174
421	11056	15143
422	11082	15117
423	11107	15089
424	11136	15067
425	11162	15040
426	11184	15008
427	11211	14982
428	11233	14951
429	11260	14926
430	11283	14896
431	11309	14870
432	11336	14844
433	11361	14817
434	11392	14797
435	11421	14774
436	11446	14746
437	11474	14722
438	11498	14693
439	11527	14671
440	11554	14646
441	11578	14617
442	11604	14590
443	11628	14561
444	11657	14539
445	11678	14506
446	11699	14474
447	11725	14447
448	11750	14419
449	11783	14402
450	11810	14376
451	11833	14346
452	11858	14318
453	11887	14296
454	11908	14264
455	11937	14240
456	11968	14220
457	11994	14194
458	12018	14165
459	12042	14136
460	12063	14104
461	12086	14074
462	12107	14042
463	12130	14013
464	12159	13990
465	12184	13962
466	12209	13935
467	12233	13906
468	12259	13880
469	12280	13848
470	12308	13823
471	12336	13800
472	12361	13772
473	12384	13742
474	12411	13718
475	12441	13696
476	12467	13669
477	12497	13647
478	12521	13619
479	12550	13596
480	12571	13564
481	12595	13536
482	12618	13506
483	12642	13478
484	12671	13455
485	12693	13424
486	12724	13403
487	12745	13372
488	12769	13344
489	12797	13320
