iter	Logloss
0	0.6895804182
1	0.6866029633
2	0.6832513362
3	0.6803197427
4	0.6771935442
5	0.6740718367
6	0.6700653573
7	0.6678314836
8	0.6649347965
9	0.6617877086
10	0.6583120379
11	0.6550226708
12	0.6517849488
13	0.6483969183
14	0.6457281775
15	0.6432243065
16	0.6393978026
17	0.6370383883
18	0.6350319846
19	0.6319653244
20	0.6296715042
21	0.6268407514
22	0.6249491374
23	0.6220028464
24	0.619323831
25	0.6168119308
26	0.6148270289
27	0.6121287571
28	0.6090359001
29	0.6061644572
30	0.6032421176
31	0.5998750446
32	0.5975506048
33	0.5942389873
34	0.5915474519
35	0.5892210388
36	0.5866397341
37	0.5834889719
38	0.5814086727
39	0.5795056273
40	0.5769116665
41	0.5745116982
42	0.5726819358
43	0.5694485006
44	0.567638641
45	0.5651608988
46	0.5627121091
47	0.5605028672
48	0.559028633
49	0.5570780251
50	0.5547560349
51	0.5527898449
52	0.5512854674
53	0.5496382662
54	0.5476986134
55	0.54523778
56	0.543357155
57	0.5416731422
58	0.5398658682
59	0.5381769223
60	0.5356316807
61	0.5343082993
62	0.5319657939
63	0.5299356089
64	0.5289496561
65	0.526414417
66	0.5238166457
67	0.5222061881
68	0.5205677646
69	0.5188900118
70	0.5173592333
71	0.5159980877
72	0.5151490388
73	0.5137202918
74	0.5120188258
75	0.5103384533
76	0.5089544791
77	0.5067398957
78	0.5059763437
79	0.5040956166
80	0.5022230548
81	0.5006604659
82	0.4993117042
83	0.4981249206
84	0.4969231332
85	0.4952641265
86	0.4938640259
87	0.4919367569
88	0.4900262268
89	0.4886671905
90	0.4867270613
91	0.4850206962
92	0.4837072492
93	0.4824130926
94	0.4812869698
95	0.4799876759
96	0.4779464338
97	0.4761307565
98	0.4741951863
99	0.4727798099
100	0.4701420289
101	0.469174652
102	0.4674831885
103	0.4663916319
104	0.4650324936
105	0.4636366117
106	0.4623082631
107	0.4610998416
108	0.4599497674
109	0.4579868436
110	0.4572050899
111	0.4560215383
112	0.4549635272
113	0.4538667993
114	0.4527824894
115	0.4513383986
116	0.450390176
117	0.4495037711
118	0.4485064891
119	0.4470804638
120	0.446068042
121	0.4446099682
122	0.4434921128
123	0.4423175429
124	0.4411425648
125	0.4398843693
126	0.4386655711
127	0.437598102
128	0.4363985601
129	0.4354561552
130	0.4342673643
131	0.4332284735
132	0.4322908657
133	0.4310931951
134	0.4302421729
135	0.4291393551
136	0.4281098543
137	0.4269062639
138	0.4251481855
139	0.4239697712
140	0.4225106427
141	0.4211411277
142	0.4197362981
143	0.4191737811
144	0.4171469643
145	0.4156547325
146	0.414751827
147	0.4137425353
148	0.4125701088
149	0.4117383089
150	0.4102268549
151	0.4089879157
152	0.4077806169
153	0.4067786058
154	0.4054083423
155	0.4036172288
156	0.4027072127
157	0.4012566918
158	0.4003632784
159	0.3989724997
160	0.3979890646
161	0.3973873544
162	0.3964095328
163	0.3951903603
164	0.3945376854
165	0.3936640728
166	0.3932448557
167	0.3926035101
168	0.3916681478
169	0.3905086156
170	0.3894039266
171	0.3884888753
172	0.3877411434
173	0.3864556283
174	0.3853977193
175	0.3841957959
176	0.3834873252
177	0.3821981698
178	0.3814221658
179	0.3805264729
180	0.3795957716
181	0.3787834322
182	0.3780730223
183	0.3769160417
184	0.3762846985
185	0.3755717029
186	0.3744132594
187	0.3737929053
188	0.372739181
189	0.3717456413
190	0.3708260311
191	0.369722703
192	0.3685986896
193	0.3676917355
194	0.3669022928
195	0.3660428672
196	0.3654391498
197	0.3643829079
198	0.363689747
199	0.3630233953
200	0.3617687381
201	0.3608270137
202	0.3600270582
203	0.359202471
204	0.358558982
205	0.357859289
206	0.3569056909
207	0.35631218
208	0.3552332796
209	0.3544445854
210	0.3533033569
211	0.3526694281
212	0.3518407582
213	0.3513576141
214	0.3501261257
