iter	Passed	Remaining
0	13	13283
1	24	12176
2	32	10958
3	43	10857
4	53	10591
5	64	10681
6	74	10597
7	85	10632
8	96	10600
9	110	10980
10	129	11659
11	138	11428
12	153	11621
13	164	11568
14	174	11451
15	185	11427
16	195	11307
17	206	11275
18	216	11179
19	227	11145
20	238	11111
21	249	11103
22	260	11047
23	270	10991
24	281	10996
25	292	10944
26	302	10901
27	315	10958
28	327	10956
29	338	10939
30	348	10906
31	360	10892
32	370	10861
33	380	10816
34	390	10769
35	402	10789
36	414	10786
37	429	10881
38	442	10896
39	454	10896
40	463	10849
41	476	10864
42	486	10820
43	498	10824
44	509	10804
45	518	10758
46	531	10782
47	541	10733
48	553	10733
49	566	10766
50	577	10741
51	587	10703
52	595	10648
53	607	10636
54	619	10636
55	629	10606
56	640	10592
57	652	10596
58	666	10623
59	675	10581
60	685	10549
61	697	10553
62	709	10548
63	723	10587
64	736	10596
65	746	10562
66	756	10528
67	767	10513
68	776	10472
69	787	10466
70	801	10484
71	813	10484
72	826	10495
73	838	10488
74	850	10484
75	862	10490
76	874	10479
77	888	10506
78	904	10547
79	916	10543
80	928	10538
81	936	10482
82	948	10473
83	956	10434
84	970	10450
85	978	10404
86	987	10367
87	998	10345
88	1005	10296
89	1018	10302
90	1030	10298
91	1040	10268
92	1043	10172
93	1052	10148
94	1063	10131
95	1073	10104
96	1084	10097
97	1096	10087
98	1104	10048
99	1118	10064
100	1133	10090
101	1147	10103
102	1163	10134
103	1176	10136
104	1200	10236
105	1237	10437
106	1266	10566
107	1292	10672
108	1357	11094
109	1393	11274
110	1422	11394
111	1435	11383
112	1470	11546
113	1504	11692
114	1538	11836
115	1571	11974
116	1594	12034
117	1614	12064
118	1652	12231
119	1692	12410
120	1726	12542
121	1764	12698
122	1792	12779
123	1813	12813
124	1829	12807
125	1847	12814
126	1858	12773
127	1867	12723
128	1877	12677
129	1888	12640
130	1900	12605
131	1909	12559
132	1923	12541
133	1938	12530
134	1951	12503
135	1969	12510
136	1982	12488
137	1998	12486
138	2012	12468
139	2024	12438
140	2040	12433
141	2052	12404
142	2064	12374
143	2074	12333
144	2085	12296
145	2093	12245
146	2104	12209
147	2115	12181
148	2129	12161
149	2142	12141
150	2154	12112
151	2167	12094
152	2182	12080
153	2193	12051
154	2205	12025
155	2215	11986
156	2229	11968
157	2243	11953
158	2253	11916
159	2263	11884
160	2275	11859
161	2286	11825
162	2299	11806
163	2309	11772
164	2320	11745
165	2334	11727
166	2347	11707
167	2360	11690
168	2371	11659
169	2381	11628
170	2394	11606
171	2405	11579
172	2418	11561
173	2432	11546
174	2442	11516
175	2451	11477
176	2462	11448
177	2471	11414
178	2482	11384
179	2493	11358
180	2503	11326
181	2515	11304
182	2528	11290
183	2540	11268
184	2552	11246
185	2562	11215
186	2573	11189
187	2585	11167
188	2597	11146
189	2608	11119
190	2619	11093
191	2632	11077
192	2643	11051
193	2652	11020
194	2661	10985
195	2676	10977
196	2689	10962
197	2704	10952
198	2717	10939
199	2731	10927
200	2745	10915
201	2757	10892
202	2767	10864
203	2781	10852
204	2793	10832
205	2803	10805
206	2820	10805
207	2835	10797
208	2848	10781
209	2859	10758
210	2872	10740
211	2883	10718
212	2893	10691
213	2905	10672
214	2916	10648
215	2927	10626
216	2938	10602
217	2951	10588
218	2961	10560
219	2974	10545
220	2985	10525
221	2996	10501
222	3008	10480
223	3022	10471
224	3033	10447
225	3044	10427
226	3058	10414
227	3068	10390
228	3079	10367
229	3091	10350
230	3102	10328
231	3112	10302
232	3121	10275
233	3134	10260
234	3145	10240
235	3156	10219
236	3168	10201
237	3182	10187
238	3193	10167
239	3202	10140
240	3213	10121
241	3222	10094
242	3231	10066
243	3241	10044
244	3253	10025
245	3267	10013
246	3276	9988
247	3288	9972
248	3300	9955
249	3310	9932
250	3319	9904
251	3331	9887
252	3339	9861
253	3349	9837
254	3360	9817
255	3371	9797
256	3383	9781
257	3395	9765
258	3407	9748
259	3418	9729
260	3431	9714
261	3438	9685
262	3451	9671
263	3465	9662
264	3476	9642
265	3486	9620
266	3496	9598
267	3507	9580
268	3517	9557
269	3526	9535
270	3536	9514
271	3547	9493
272	3559	9479
273	3575	9472
274	3589	9463
275	3604	9454
276	3618	9445
277	3629	9426
278	3640	9407
279	3648	9382
280	3659	9362
281	3668	9339
282	3677	9316
283	3685	9290
284	3694	9268
285	3705	9251
286	3714	9227
287	3727	9214
288	3735	9189
289	3746	9173
290	3757	9155
291	3769	9138
292	3781	9125
293	3792	9106
294	3801	9085
295	3812	9067
296	3822	9048
297	3833	9030
298	3842	9008
299	3855	8995
300	3865	8977
301	3878	8964
302	3891	8952
303	3902	8933
304	3913	8918
305	3926	8906
306	3939	8893
307	3948	8871
308	3966	8870
309	3978	8855
310	3991	8843
311	4003	8829
312	4015	8813
313	4025	8794
314	4039	8783
315	4049	8765
316	4058	8744
317	4070	8730
318	4081	8712
319	4090	8692
320	4102	8678
321	4113	8660
322	4124	8645
323	4140	8638
324	4163	8646
325	4178	8638
326	4191	8625
327	4202	8610
328	4215	8596
329	4225	8579
330	4236	8562
331	4245	8541
332	4254	8522
333	4264	8503
334	4275	8486
335	4288	8474
336	4299	8458
337	4311	8444
338	4322	8428
339	4333	8412
340	4344	8396
341	4359	8388
342	4370	8372
343	4384	8360
344	4395	8344
345	4410	8336
346	4428	8333
347	4445	8328
348	4458	8316
349	4470	8302
350	4478	8280
351	4489	8263
352	4498	8245
353	4509	8229
354	4522	8217
355	4535	8203
356	4547	8191
357	4561	8180
358	4573	8166
359	4588	8157
360	4625	8187
361	4657	8208
362	4681	8214
363	4711	8232
364	4741	8249
365	4769	8262
366	4789	8261
367	4807	8255
368	4831	8261
369	4865	8284
370	4887	8286
371	4916	8300
372	4960	8338
373	5001	8371
374	5029	8383
375	5061	8400
376	5085	8403
377	5103	8397
378	5133	8411
379	5170	8435
380	5208	8461
381	5232	8464
382	5263	8479
383	5286	8480
384	5305	8475
385	5318	8460
386	5330	8443
387	5342	8427
388	5363	8423
389	5374	8406
390	5384	8386
391	5398	8373
392	5408	8353
393	5418	8333
394	5429	8315
395	5440	8298
396	5449	8277
397	5459	8257
398	5470	8240
399	5480	8220
400	5491	8202
401	5502	8185
402	5521	8179
403	5537	8168
404	5545	8147
405	5555	8128
406	5573	8120
407	5589	8110
408	5599	8091
409	5611	8074
410	5623	8058
411	5632	8039
412	5644	8023
413	5656	8006
414	5666	7987
415	5676	7969
416	5687	7951
417	5695	7930
418	5706	7912
419	5715	7893
420	5728	7877
421	5738	7860
422	5750	7844
423	5761	7826
424	5773	7810
425	5784	7793
426	5793	7774
427	5804	7757
428	5817	7743
429	5828	7725
430	5839	7708
431	5851	7693
432	5861	7675
433	5874	7660
434	5883	7641
435	5893	7623
436	5903	7605
437	5915	7589
438	5930	7579
439	5942	7563
440	5954	7547
441	5964	7529
442	5978	7516
443	5991	7503
444	6000	7483
445	6010	7466
446	6021	7449
447	6031	7432
448	6042	7414
449	6055	7401
450	6070	7390
451	6085	7377
452	6097	7363
453	6109	7347
454	6121	7332
455	6131	7315
456	6142	7298
457	6156	7285
458	6166	7268
459	6177	7252
460	6188	7235
461	6198	7218
462	6210	7202
463	6219	7184
464	6232	7170
465	6242	7153
466	6252	7135
467	6263	7119
468	6275	7105
469	6286	7089
470	6298	7073
471	6306	7055
472	6317	7038
473	6329	7023
474	6339	7007
475	6351	6992
476	6364	6978
477	6376	6962
478	6387	6947
479	6397	6930
480	6406	6912
481	6424	6904
482	6443	6897
483	6462	6889
484	6477	6878
485	6488	6862
486	6499	6846
487	6513	6833
488	6524	6818
489	6533	6800
