Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,CostPerVisit,CostPerClick,EmailEngagementRate,CustomerValue,IncomeToAdSpend,SiteEngagementScore,SocialAmplification,CTR_x_PagesPerVisit
26,Female,131794,Social Media,Retention,7562.712158235324,0.2878146152254112,0.127689236593594,35,4.265172249493571,12.33207146433245,42,17,0,5,1261,210.075337728759,7562.712158235324,0.0,6305,17.424512890340953,52.598408988442316,1.1666666666666667,1.2275789098580938
53,Male,64280,Social Media,Retention,5623.440403538175,0.023704588096541,0.0745776607962005,40,8.998052435819357,12.79312489356947,69,6,0,4,3655,137.15708301312623,5623.440403538175,0.0,14620,11.428692525493432,115.11320861032402,1.6829268292682926,0.2132951266621753
56,Female,119826,Email,Retention,313.98570573704205,0.0211761166851118,0.1560157050577518,45,7.061957031927097,5.51956027719023,20,16,4,6,4932,6.825776211674827,62.79714114740841,0.23529411764705882,29592,380.41726280758195,38.97889751264902,0.43478260869565216,0.149544826133334
54,Female,91019,Social Media,Retention,6876.065933068468,0.2191767523126104,0.0647833567868514,29,7.690586378569636,14.10522378000823,91,6,8,8,1960,229.20219776894893,764.0073258964965,1.1428571428571428,15680,13.235150118647818,108.4774418692078,3.033333333333333,1.6855977458344926
25,Female,63167,Email,Consideration,2069.226732960637,0.048544767632494,0.1777549467281006,8,8.353002850921659,1.6283002213143591,73,8,9,6,2189,229.9140814400708,206.9226732960637,1.0,13134,30.51211685865185,13.60119639079521,8.11111111111111,0.4054945824315518
56,Male,69711,SEO,Awareness,6647.599990116075,0.0183573287908504,0.1938794705910218,47,7.322572600779882,4.809514375236205,83,11,3,5,3218,138.49166646075156,1661.8999975290187,0.25,16090,10.485064540449658,35.218018187161604,1.7291666666666667,0.13442287282738882
30,Male,96680,Referral,Conversion,1975.3589531024677,0.1988687070512586,0.1397806516767503,30,7.749708894108613,2.604676208887001,18,5,4,1,565,63.721256551692505,395.0717906204935,0.6666666666666666,565,48.91823919345863,20.185482382284697,0.5806451612903226,1.541174587795019
57,Female,123746,Referral,Awareness,8240.53132608198,0.0202048345166463,0.0823324830774074,33,2.367269970657774,4.862957493853425,47,8,3,1,3130,242.36856841417588,2060.132831520495,0.3333333333333333,3130,15.014928064203426,11.511933243784398,1.3823529411764706,0.04783029801336647
66,Female,78070,SEO,Retention,9375.992609295225,0.067140419628361,0.0881571492784228,12,1.998946480353473,1.406692896402287,61,11,6,8,2397,721.2302007150173,1339.4275156136034,0.5,19176,8.325697081451336,2.811903814201584,4.6923076923076925,0.13421010550556745
41,Female,114859,SEO,Retention,5148.216857380449,0.2666035267749037,0.0233769381539061,41,2.6186548336678857,2.183990644772767,16,2,7,5,2574,122.57659184239165,643.5271071725562,2.3333333333333335,12870,22.306110459374203,5.719117658619648,0.38095238095238093,0.6981426140620071
