model,fold,auc_roc,accuracy,f1,precision,recall
AdaBoost_Baseline,1,0.811808,0.899219,0.945547,0.898156,0.998217
AdaBoost_Baseline,2,0.771089,0.896094,0.943953,0.895284,0.998217
AdaBoost_Baseline,3,0.812112,0.895312,0.943508,0.8952,0.997326
AdaBoost_Baseline,4,0.857223,0.896875,0.944444,0.894737,1.0
AdaBoost_Baseline,5,0.894887,0.896094,0.944047,0.894024,1.0
AdaBoost_Tuned,1,0.808062,0.917969,0.955071,0.918519,0.994652
AdaBoost_Tuned,2,0.743169,0.9125,0.952014,0.916667,0.990196
AdaBoost_Tuned,3,0.775548,0.908594,0.949764,0.916321,0.98574
AdaBoost_Tuned,4,0.819462,0.900781,0.945703,0.908792,0.98574
AdaBoost_Tuned,5,0.860167,0.919531,0.955546,0.92636,0.986631
