mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__estimator__max_depth,param_classifier__estimator__min_samples_split,param_classifier__learning_rate,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.782633,0.052195,0.039855,0.002301,1,2,0.1,100,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 100}",0.877344,0.878906,0.877344,0.876562,0.877344,0.8775,0.000765,79
2.806264,0.029995,0.055523,0.007854,1,2,0.1,150,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 150}",0.879688,0.880469,0.882031,0.879688,0.878906,0.880156,0.00106,76
3.749146,0.124537,0.068465,0.01169,1,2,0.1,200,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.885156,0.882812,0.8875,0.88125,0.883594,0.884062,0.002131,73
1.827752,0.072173,0.038025,0.003275,1,2,0.2,100,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 100}",0.8875,0.885156,0.8875,0.884375,0.883594,0.885625,0.001609,70
2.701955,0.0962,0.057407,0.008264,1,2,0.2,150,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 150}",0.888281,0.886719,0.889844,0.8875,0.883594,0.887188,0.002073,67
3.704308,0.210202,0.071254,0.004115,1,2,0.2,200,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 200}",0.889062,0.886719,0.889844,0.89375,0.883594,0.888594,0.003373,64
1.871402,0.144178,0.039971,0.003307,1,2,0.5,100,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 100}",0.896875,0.895312,0.895312,0.896094,0.8875,0.894219,0.003409,61
2.819638,0.164369,0.051758,0.001242,1,2,0.5,150,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 150}",0.898438,0.896875,0.896875,0.896875,0.889062,0.895625,0.003337,58
3.676975,0.114187,0.06729,0.003228,1,2,0.5,200,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 2, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 200}",0.899219,0.896094,0.895312,0.896875,0.896094,0.896719,0.001344,52
1.894491,0.062433,0.04003,0.00206,1,5,0.1,100,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 100}",0.877344,0.878906,0.877344,0.876562,0.877344,0.8775,0.000765,79
2.704357,0.02279,0.056786,0.003527,1,5,0.1,150,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 150}",0.879688,0.880469,0.882031,0.879688,0.878906,0.880156,0.00106,76
3.773624,0.120874,0.070509,0.003984,1,5,0.1,200,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.885156,0.882812,0.8875,0.88125,0.883594,0.884062,0.002131,73
1.870917,0.05544,0.039242,0.000953,1,5,0.2,100,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 100}",0.8875,0.885156,0.8875,0.884375,0.883594,0.885625,0.001609,70
2.870651,0.083214,0.057699,0.004351,1,5,0.2,150,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 150}",0.888281,0.886719,0.889844,0.8875,0.883594,0.887188,0.002073,67
3.822867,0.077931,0.073282,0.005358,1,5,0.2,200,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.2, 'classifier__n_estimators': 200}",0.889062,0.886719,0.889844,0.89375,0.883594,0.888594,0.003373,64
1.934076,0.063576,0.042259,0.003973,1,5,0.5,100,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 100}",0.896875,0.895312,0.895312,0.896094,0.8875,0.894219,0.003409,61
2.918271,0.093508,0.055068,0.002075,1,5,0.5,150,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 150}",0.898438,0.896875,0.896875,0.896875,0.889062,0.895625,0.003337,58
4.061134,0.133419,0.078439,0.00809,1,5,0.5,200,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 5, 'classifier__learning_rate': 0.5, 'classifier__n_estimators': 200}",0.899219,0.896094,0.895312,0.896875,0.896094,0.896719,0.001344,52
2.139187,0.101231,0.046416,0.00629,1,10,0.1,100,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 100}",0.877344,0.878906,0.877344,0.876562,0.877344,0.8775,0.000765,79
3.131377,0.181605,0.054947,0.001246,1,10,0.1,150,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 150}",0.879688,0.880469,0.882031,0.879688,0.878906,0.880156,0.00106,76
4.095975,0.182416,0.086888,0.012486,1,10,0.1,200,"{'classifier__estimator__max_depth': 1, 'classifier__estimator__min_samples_split': 10, 'classifier__learning_rate': 0.1, 'classifier__n_estimators': 200}",0.885156,0.882812,0.8875,0.88125,0.883594,0.884062,0.002131,73
