model,fold,auc_roc,accuracy,f1,precision,recall
LogReg_Baseline,1,0.742586,0.7375,0.833992,0.937778,0.75089
LogReg_Baseline,2,0.728899,0.709375,0.811359,0.943396,0.711744
LogReg_Baseline,3,0.795625,0.740625,0.831643,0.962441,0.732143
LogReg_Baseline,4,0.797143,0.725,0.821862,0.948598,0.725
LogReg_Baseline,5,0.787857,0.74375,0.835341,0.954128,0.742857
LogReg_Tuned,1,0.769478,0.710156,0.811961,0.941246,0.713904
LogReg_Tuned,2,0.75814,0.723438,0.822111,0.942396,0.729055
LogReg_Tuned,3,0.775051,0.7125,0.814141,0.939394,0.71836
LogReg_Tuned,4,0.809472,0.715625,0.814475,0.95119,0.712121
LogReg_Tuned,5,0.863349,0.738281,0.828994,0.970131,0.723708
