feature,mean_abs_shap
num__AdSpend,0.012210620294495893
num__ClickThroughRate,0.00872171457104538
num__TimeOnSite,0.008376662751794195
num__EmailClicks,0.007788778734941896
num__EmailOpens,0.006971393102656475
num__LoyaltyPoints,0.006330695661822888
num__PagesPerVisit,0.0055393647163613415
num__ConversionRate,0.005046302983027411
num__PreviousPurchases,0.004456933510231379
cat__CampaignType_Conversion,0.004438135376453252
num__WebsiteVisits,0.003934905639590229
num__CustomerValue,0.0035162707631937727
num__IncomeToAdSpend,0.003186674946537292
num__CTR_x_PagesPerVisit,0.003133527083726907
num__SiteEngagementScore,0.0030542170467468214
num__SocialAmplification,0.0024413929260592403
num__Income,0.00216917801716317
num__SocialShares,0.002110378836181892
num__CostPerClick,0.001928834059052794
num__Age,0.0018275063531079836
num__CostPerVisit,0.001584865543107939
num__EmailEngagementRate,0.001006831893709102
cat__CampaignChannel_Referral,0.0007501607638374916
cat__CampaignChannel_PPC,0.000573765014374271
cat__CampaignType_Retention,0.0003483925363627483
cat__Gender_Male,0.000342395921055529
cat__CampaignType_Consideration,0.00032429297813364526
cat__CampaignChannel_SEO,0.0002809246865578161
cat__CampaignChannel_Social Media,0.00023233856690240196
